"2020 GENERAL ELECTION VOTES CAST FOR U.S. PRESIDENT, SENATE AND HOUSE",,,,,,,,,,
,,,,,,,,,,
State,Presidential Vote,U.S. Senate Vote,U.S. House Vote,,,,,,,
AL,"2,323,282","2,316,445","2,051,659",,,,,,,
AK,"359,530","354,587","353,165",,,,,,,
AS,,,"11,749",,,,,,,
AZ,"3,387,326","3,355,317","3,268,249",,,,,,,
AR,"1,219,069","1,193,261","1,179,396",,,,,,,
CA,"17,501,380",,"16,724,901",,,,,,,
CO,"3,256,980","3,235,790","3,164,983",,,,,,,
CT,"1,823,857",,"1,772,927",,,,,,,
DE,"504,346","490,935","488,270",,,,,,,
DC,"344,356",,"326,587",,,,,,,
FL,"11,067,456",,"10,464,791",,,,,,,
GA,"4,999,960","18,836,399","4,883,611",,,,,,,
GU,,,"46,179",,,,,,,
HI,"574,469",,"526,535",,,,,,,
ID,"867,934","859,827","849,909",,,,,,,
IL,"6,033,744","5,968,901","5,876,819",,,,,,,
IN,"3,033,210",,"2,996,444",,,,,,,
IA,"1,690,871","1,671,828","1,639,463",,,,,,,
KS,"1,373,986","1,367,755","1,358,953",,,,,,,
KY,"2,136,768","2,135,057","2,115,895",,,,,,,
LA,"2,148,062","2,071,543","2,100,908",,,,,,,
ME,"819,461","819,183","809,262",,,,,,,
MD,"3,037,030",,"2,954,170",,,,,,,
MA,"3,631,402","3,564,136","3,326,658",,,,,,,
MI,"5,539,302","5,479,720","5,423,140",,,,,,,
MN,"3,277,171","3,214,256","3,193,809",,,,,,,
MS,"1,313,759","1,311,354","1,227,846",,,,,,,
MO,"3,025,962",,"2,973,421",,,,,,,
MT,"603,674","605,637","601,509",,,,,,,
NE,"956,383","930,012","941,298",,,,,,,
NV,"1,405,376",,"1,355,607",,,,,,,
NH,"806,205","795,914","787,102",,,,,,,
NJ,"4,549,457","4,440,540","4,433,023",,,,,,,
NM,"923,965","917,237","903,684",,,,,,,
NY,"8,616,861",,"8,227,086",,,,,,,
NC,"5,524,804","5,474,952","5,325,245",,,,,,,
ND,"362,024",,"355,799",,,,,,,
MP,,,"11,449",,,,,,,
OH,"5,922,202",,"5,756,540",,,,,,,
OK,"1,560,699","1,556,361","1,551,383",,,,,,,
OR,"2,374,321","2,321,249","2,308,189",,,,,,,
PA,"6,936,976",,"6,787,875",,,,,,,
PR,,,"1,246,092",,,,,,,
RI,"517,757","494,262","488,417",,,,,,,
SC,"2,513,329","2,515,104","2,505,442",,,,,,,
SD,"422,609","420,219","397,732",,,,,,,
TN,"3,053,851","2,959,761","2,841,744",,,,,,,
TX,"11,315,056","11,144,040","11,093,626",,,,,,,
UT,"1,488,289",,"1,432,232",,,,,,,
VT,"367,428",,"354,840",,,,,,,
VI,,,"15,487",,,,,,,
VA,"4,460,524","4,405,087","4,335,436",,,,,,,
WA,"4,087,631",,"3,944,233",,,,,,,
WV,"794,731","778,918","761,171",,,,,,,
WI,"3,298,041",,"3,238,051",,,,,,,
WY,"276,765","272,937","270,892",,,,,,,
Total:,"158,429,631","98,278,524","154,380,883",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Notes on Charts,,,,,,,,,,
,,,,,,,,,,
"*  For states that had votes for both full and unexpired terms, the votes for both terms are included in the totals.  This applies to Georgia (U.S. Senate).",,,,,,,,,,
,,,,,,,,,,
"*  For states that had votes for both full and unexpired terms, the votes for both terms are included in the totals.  This applies to Georgia (U.S. Senate).",,,,,,,,,,
,,,,,,,,,,
The following three situations account for blank spaces in the charts and should be considered when making comparisons or drawing conclusions about the vote totals.,,,,,,,,,,
,,,,,,,,,,
"*  In some states, i.e., Connecticut, Utah and Virginia, political parties may nominate general election candidates by party convention, rather than by primary election.",,,,,,,,,,
,,,,,,,,,,
"*  In some states, there were unopposed candidates whose names did not appear on a ballot and therefore received no votes.",,,,,,,,,,
,,,,,,,,,,
*  33 states had regularly scheduled U.S. Senate elections in 2020.,,,,,,,,,,
