2020 PRIMARY AND GENERAL ELECTION VOTES CAST FOR U.S. CONGRESS,,,,,,
,,,,,,
,PRIMARY,GENERAL,PRIMARY,GENERAL,,
State,U.S. SENATE VOTE,U.S. SENATE VOTE,U.S. HOUSE VOTE,U.S. HOUSE VOTE,,
AL,"1,268,792","2,316,445","614,005","2,051,659",,
AK,"127,921","354,587","130,317","353,165",,
AS,,,,"11,749",,
AZ,"1,400,086","3,355,317","1,327,489","3,268,249",,
AR,,"1,193,261",,"1,179,396",,
CA,,,"9,123,325","16,724,901",,
CO,"1,560,535","3,235,790","1,404,483","3,164,983",,
CT,,,"34,713","1,772,927",,
DE,"173,847","490,935","53,080","488,270",,
DC,,,"107,383","326,587",,
FL,,,"1,799,956","10,464,791",,
GA,"2,179,215","18,836,399","2,334,827","4,883,611",,
GU,,,,"46,179",,
HI,,,"340,879","526,535",,
ID,"284,237","859,827","288,611","849,909",,
IL,"1,941,286","5,968,901","1,974,835","5,876,819",,
IN,,,"990,586","2,996,444",,
IA,"506,413","1,671,828","500,261","1,639,463",,
KS,"614,319","1,367,755","592,051","1,358,953",,
KY,"957,882","2,135,057","541,708","2,115,895",,
LA,,"2,071,543",,"2,100,908",,
ME,"251,129","819,183","244,176","809,262",,
MD,,,"1,270,601","2,954,170",,
MA,"1,683,022","3,564,136","1,451,426","3,326,658",,
MI,"2,186,095","5,479,720","2,203,767","5,423,140",,
MN,"826,103","3,214,256","652,930","3,193,809",,
MS,"504,452","1,311,354","447,219","1,227,846",,
MO,,,"1,171,519","2,973,421",,
MT,"371,828","605,637","366,304","601,509",,
NE,"439,347","930,012","435,341","941,298",,
NV,,,"392,444","1,355,607",,
NH,"290,522","795,914","281,253","787,102",,
NJ,"1,364,888","4,440,540","1,323,554","4,433,023",,
NM,"384,463","917,237","389,874","903,684",,
NY,,,"1,267,455","8,227,086",,
NC,"2,040,903","5,474,952","1,227,283","5,325,245",,
ND,,,"135,459","355,799",,
MP,,,,"11,449",,
OH,,,"1,470,302","5,756,540",,
OK,"646,402","1,556,361","434,745","1,551,383",,
OR,"933,879","2,321,249","951,206","2,308,189",,
PA,,,"2,616,732","6,787,875",,
PR,,,,"1,246,092",,
RI,"74,698","494,262","80,516","488,417",,
SC,"469,043","2,515,104","279,934","2,505,442",,
SD,"93,529","420,219","93,275","397,732",,
TN,"984,947","2,959,761","886,896","2,841,744",,
TX,"4,765,439","11,144,040","4,174,192","11,093,626",,
UT,,,"263,417","1,432,232",,
VT,,,"151,402","354,840",,
VI,,,,"15,487",,
VA,"309,804","4,405,087","292,093","4,335,436",,
WA,,,"2,402,169","3,944,233",,
WV,"395,357","778,918","364,168","761,171",,
WI,,,"866,949","3,238,051",,
WY,"130,230","272,937","130,939","270,892",,
Total:,"30,160,613","98,278,524","50,878,049","154,380,883",,
,,,,,,
,,,,,,
Notes on Charts,,,,,,
,,,,,,
"*  For states that had votes for both full and unexpired terms, the votes for both terms are included in the totals.  This applies to Georgia (U.S. Senate).",,,,,,
,,,,,,
"*  For states that had votes for both full and unexpired terms, the votes for both terms are included in the totals.  This applies to Georgia (U.S. Senate).",,,,,,
,,,,,,
The following three situations account for blank spaces in the charts and should be considered when making comparisons or drawing conclusions about the vote totals.,,,,,,
,,,,,,
"*  In some states, i.e., Connecticut, Utah and Virginia, political parties may nominate general election candidates by party convention, rather than by primary election.",,,,,,
,,,,,,
"*  In some states, there were unopposed candidates whose names did not appear on a ballot and therefore received no votes.",,,,,,
,,,,,,
*  33 states had regularly scheduled U.S. Senate elections in 2020.,,,,,,
